TIME,GEO,UNIT,PURPOSE,DURATION,PARTNER,Value,Flag and Footnotes
2009,Denmark,Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Denmark,Number,"Professional, business",1 night or over,Europe,:,
2009,Denmark,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2009,Denmark,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2009,Denmark,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Denmark,Number,"Professional, business",4 nights or over,Europe,:,
2009,Denmark,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Denmark,Number,Visits to friends and relatives,1 night or over,Europe,:,
2009,Denmark,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Denmark,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2009,Denmark,Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Denmark,Number,Visits to friends and relatives,4 nights or over,Europe,:,
2009,Denmark,Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Germany (until 1990 former territory of the FRG),Number,Total,1 night or over,Europe,:,
2009,Germany (until 1990 former territory of the FRG),Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Germany (until 1990 former territory of the FRG),Number,Total,From 1 to 3 nights,Europe,:,
2009,Germany (until 1990 former territory of the FRG),Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Germany (until 1990 former territory of the FRG),Number,Total,4 nights or over,Europe,:,
2009,Germany (until 1990 former territory of the FRG),Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Germany (until 1990 former territory of the FRG),Number,Personal reasons,1 night or over,Europe,:,
2009,Germany (until 1990 former territory of the FRG),Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Germany (until 1990 former territory of the FRG),Number,Personal reasons,From 1 to 3 nights,Europe,:,
2009,Germany (until 1990 former territory of the FRG),Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Germany (until 1990 former territory of the FRG),Number,Personal reasons,4 nights or over,Europe,:,
2009,Germany (until 1990 former territory of the FRG),Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Germany (until 1990 former territory of the FRG),Number,"Professional, business",1 night or over,Europe,:,
2009,Germany (until 1990 former territory of the FRG),Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2009,Germany (until 1990 former territory of the FRG),Number,"Professional, business",From 1 to 3 nights,Europe,:,
2009,Germany (until 1990 former territory of the FRG),Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Germany (until 1990 former territory of the FRG),Number,"Professional, business",4 nights or over,Europe,:,
2009,Germany (until 1990 former territory of the FRG),Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Germany (until 1990 former territory of the FRG),Number,Visits to friends and relatives,1 night or over,Europe,:,
2009,Germany (until 1990 former territory of the FRG),Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Germany (until 1990 former territory of the FRG),Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2009,Germany (until 1990 former territory of the FRG),Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Germany (until 1990 former territory of the FRG),Number,Visits to friends and relatives,4 nights or over,Europe,:,
2009,Germany (until 1990 former territory of the FRG),Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Estonia,Number,Total,1 night or over,Europe,:,
2009,Estonia,Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Estonia,Number,Total,From 1 to 3 nights,Europe,:,
2009,Estonia,Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Estonia,Number,Total,4 nights or over,Europe,:,
2009,Estonia,Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Estonia,Number,Personal reasons,1 night or over,Europe,:,
2009,Estonia,Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Estonia,Number,Personal reasons,From 1 to 3 nights,Europe,:,
2009,Estonia,Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Estonia,Number,Personal reasons,4 nights or over,Europe,:,
2009,Estonia,Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Estonia,Number,"Professional, business",1 night or over,Europe,:,
2009,Estonia,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2009,Estonia,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2009,Estonia,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Estonia,Number,"Professional, business",4 nights or over,Europe,:,
2009,Estonia,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Estonia,Number,Visits to friends and relatives,1 night or over,Europe,:,
2009,Estonia,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Estonia,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2009,Estonia,Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Estonia,Number,Visits to friends and relatives,4 nights or over,Europe,:,
2009,Estonia,Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Ireland,Number,Total,1 night or over,Europe,:,
2009,Ireland,Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Ireland,Number,Total,From 1 to 3 nights,Europe,:,
2009,Ireland,Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Ireland,Number,Total,4 nights or over,Europe,:,
2009,Ireland,Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Ireland,Number,Personal reasons,1 night or over,Europe,:,
2009,Ireland,Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Ireland,Number,Personal reasons,From 1 to 3 nights,Europe,:,
2009,Ireland,Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Ireland,Number,Personal reasons,4 nights or over,Europe,:,
2009,Ireland,Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Ireland,Number,"Professional, business",1 night or over,Europe,:,
2009,Ireland,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2009,Ireland,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2009,Ireland,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Ireland,Number,"Professional, business",4 nights or over,Europe,:,
2009,Ireland,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Ireland,Number,Visits to friends and relatives,1 night or over,Europe,:,
2009,Ireland,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Ireland,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2009,Ireland,Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Ireland,Number,Visits to friends and relatives,4 nights or over,Europe,:,
2009,Ireland,Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Greece,Number,Total,1 night or over,Europe,:,
2009,Greece,Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Greece,Number,Total,From 1 to 3 nights,Europe,:,
2009,Greece,Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Greece,Number,Total,4 nights or over,Europe,:,
2009,Greece,Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Greece,Number,Personal reasons,1 night or over,Europe,:,
2009,Greece,Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Greece,Number,Personal reasons,From 1 to 3 nights,Europe,:,
2009,Greece,Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Greece,Number,Personal reasons,4 nights or over,Europe,:,
2009,Greece,Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Greece,Number,"Professional, business",1 night or over,Europe,:,
2009,Greece,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2009,Greece,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2009,Greece,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Greece,Number,"Professional, business",4 nights or over,Europe,:,
2009,Greece,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2009,Greece,Number,Visits to friends and relatives,1 night or over,Europe,:,
2009,Greece,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2009,Greece,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2009,Greece,Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2009,Greece,Number,Visits to friends and relatives,4 nights or over,Europe,:,
